id,country,item,year,yield_kg_ha
257,Japan,Bananas,1981,8342.1
258,Japan,Bananas,1982,11287.1
259,Japan,Bananas,1983,7802
260,Japan,Bananas,1984,7126.4
261,Japan,Bananas,1985,12756.4
262,Japan,Bananas,1986,6246.9
263,Japan,Bananas,1987,6554.1
264,Japan,Bananas,1988,6400
265,Japan,Bananas,1989,6258.3
266,Japan,Bananas,1990,5956.9
267,Japan,Bananas,1991,5449.2
268,Japan,Bananas,1992,5107.7
269,Japan,Bananas,1993,5500
270,Japan,Bananas,1994,5384.6
271,Japan,Bananas,1995,5131.6
272,Japan,Bananas,1996,5000
273,Japan,Bananas,1997,4394.2
274,Japan,Bananas,1998,4394.2
275,Japan,Bananas,1999,4394.2
276,Japan,Bananas,2000,4761.9
277,Japan,Bananas,2001,3750
278,Japan,Bananas,2002,4444.4
279,Japan,Bananas,2003,5679.2
280,Japan,Bananas,2004,3703.1
281,Japan,Bananas,2005,3363.6
282,Japan,Bananas,2006,3333.3
283,Japan,Bananas,2007,3534.5
284,Japan,Bananas,2008,3587
285,Japan,Bananas,2009,3567.6
286,Japan,Bananas,2010,3517.2
287,Japan,Bananas,2011,3363.6
288,Japan,Bananas,2012,3312.5
289,Japan,Bananas,2013,3307.7
290,Japan,Bananas,2014,3000
291,Japan,Bananas,2015,4000
292,Japan,Bananas,2016,2500
293,Japan,Bananas,2017,3000
294,Japan,Bananas,2018,3000
295,Japan,Bananas,2019,3000
296,Japan,Oranges,1961,15181.8
297,Japan,Oranges,1962,14192.3
298,Japan,Oranges,1963,10000
299,Japan,Oranges,1964,14219.2
300,Japan,Oranges,1965,15082.8
301,Japan,Oranges,1966,14705.9
302,Japan,Oranges,1967,13572.2
303,Japan,Oranges,1968,13840.4
304,Japan,Oranges,1969,18549.7
305,Japan,Oranges,1970,13851.9
306,Japan,Oranges,1971,18762.2
307,Japan,Oranges,1972,16269.7
308,Japan,Oranges,1973,22079.1
309,Japan,Oranges,1974,18655.2
310,Japan,Oranges,1975,22229.9
311,Japan,Oranges,1976,20539.3
312,Japan,Oranges,1977,16213.5
313,Japan,Oranges,1978,20027.8
314,Japan,Oranges,1979,19406.4
315,Japan,Oranges,1980,20695.9
316,Japan,Oranges,1981,14872.4
317,Japan,Oranges,1982,19087.6
